tweet_id,date_time,favorites,retweets,user_followers,user_favourites
692919143163629568,2016-01-29 03:56:12,2914,835,3768867,120161
692905862751522816,2016-01-29 03:03:25,2667,994,3768868,120161
692901601640583168,2016-01-29 02:46:29,1964,680,3768869,120161
692894228850999298,2016-01-29 02:17:12,2507,906,3768869,120161
692828166163931137,2016-01-28 21:54:41,3141,993,3768869,120161
692752401762250755,2016-01-28 16:53:37,7469,4102,3768869,120161
692568918515392513,2016-01-28 04:44:32,4720,1729,3768869,120161
692535307825213440,2016-01-28 02:30:58,3489,1522,3768869,120161
692530551048294401,2016-01-28 02:12:04,2010,472,3768869,120161
692423280028966913,2016-01-27 19:05:49,1613,263,3768869,120161
692417313023332352,2016-01-27 18:42:06,10227,3902,3768869,120161
692187005137076224,2016-01-27 03:26:56,2755,924,3768869,120161
692158366030913536,2016-01-27 01:33:08,2358,896,3768870,120161
692142790915014657,2016-01-27 00:31:15,1788,437,3768870,120161
692041934689402880,2016-01-26 17:50:29,3704,1420,3768870,120161
692017291282812928,2016-01-26 16:12:33,3138,1077,3768870,120161
691820333922455552,2016-01-26 03:09:55,4308,1849,3768870,120161
691793053716221953,2016-01-26 01:21:31,8888,4710,3768870,120161
691756958957883396,2016-01-25 22:58:05,3163,1155,3768870,120161
691675652215414786,2016-01-25 17:35:00,2107,573,3768870,120161
691483041324204033,2016-01-25 04:49:38,2594,653,3768870,120161
691459709405118465,2016-01-25 03:16:56,4437,1290,3768870,120161
691444869282295808,2016-01-25 02:17:57,2883,946,3768870,120161
691416866452082688,2016-01-25 00:26:41,21182,8638,3768870,120161
691321916024623104,2016-01-24 18:09:23,2816,743,3768870,120161
691096613310316544,2016-01-24 03:14:07,3243,1016,3768871,120161
691090071332753408,2016-01-24 02:48:07,1861,385,3768871,120161
690989312272396288,2016-01-23 20:07:44,6484,3264,3768871,120161
690959652130045952,2016-01-23 18:09:53,3899,1415,3768872,120161
690938899477221376,2016-01-23 16:47:25,4517,2232,3768872,120161
690932576555528194,2016-01-23 16:22:17,3591,1143,3768872,120161
690735892932222976,2016-01-23 03:20:44,4113,1439,3768873,120161
690728923253055490,2016-01-23 02:53:03,2372,596,3768874,120161
690690673629138944,2016-01-23 00:21:03,2530,893,3768875,120161
690649993829576704,2016-01-22 21:39:24,1425,321,3768875,120161
